Austrian_carabiniers 		 romans_senate
prussian_freijaeger 		 germans
prussian_freikorps_line 		 germans
prussian_fusiliers 		 germans
prussian_garde_du_corps 		merc
prussian_garrison 		merc
prussian_grenadiers 		 germans
prussian_howitzer 		 germans
prussian_hussars 		 germans
prussian_landregiment 		 germans
prussian_leib 		 germans
prussian_line 		 germans
prussian_saxon_line 		merc
prussian_staff 		 germans
rangers 		 britons
reales_guardias_de_corps 		 seleucid
russian_12pounder 		 armenia
russian_6pounder 		 armenia
russian_cossacks 		 armenia
russian_cuirassiers 		 armenia
russian_dragoons 		 armenia
russian_grenadiers 		 armenia
russian_horse_grenadier 		 armenia
russian_hussars 		 armenia
russian_lifeguards 		 armenia
savoyard_footguard 		merc
savoyard_fusilier 		 slave, romans_brutii
savoyard_grenadier 		 romans_brutii
saxon_carabiniergarde 		 romans_scipii
saxon_cuirassiers 		 romans_scipii
saxon_dragoons 		 romans_scipii
saxon_fusiliers 		 romans_scipii, greek_cities
saxon_garde_du_corps 		merc
saxon_garde_zu_fuss 		 romans_scipii, greek_cities
saxon_grenadiergarde 		 romans_scipii, greek_cities
saxon_grenadiers 		 romans_scipii, greek_cities
saxon_uhlans 		 romans_scipii
spanish_12pounder 		 seleucid
spanish_24pounder 		 seleucid
spanish_4pounder 		 seleucid
spanish_8pounder 		 seleucid
spanish_dragoons 		 seleucid
spanish_fusiliers 		 seleucid
spanish_grenadiers 		 seleucid
spanish_howitzer 		 seleucid
spanish_irish_fusiliers 		 seleucid
spanish_italian_fusiliers 		 seleucid
spanish_line_cavalry 		 seleucid
spanish_migueletes 		 seleucid
spanish_militia 		 seleucid
spanish_swiss_fusiliers 		merc
spanish_valonas_fusiliers 		merc
swedish_6pounder 		 parthia
swedish_cuirassiers 		 parthia
swedish_dragoons 		 parthia
swedish_foot_guard 		merc
swedish_grenadiers 		 parthia
swedish_hussars 		 parthia
swedish_lifeguard 		merc
swedish_line 		 parthia
swedish_varvade_line 		 parthia
tatars 		 carthage
test_ca1 		 numidia
wurttemberg_6pounder 		 scythia
wurttemberg_cuirassiers 		 scythia
wurttemberg_dragoons 		 scythia
wurttemberg_garde_zu_fuss 		 scythia
wurttemberg_hussars 		 scythia
wurttemberg_jaeger 		 scythia
wurttemberg_line 		 scythia
